Source	Target
bobik_ag	sem4
bobik_ag	litewren
raz_naimanoff	torick
raz_naimanoff	torkes
raz_naimanoff	marish_plohish
raz_naimanoff	kisa_pushistaya
4yesnok	torick
4yesnok	lotrin
4yesnok	perestukin
4yesnok	jmurik
4yesnok	oil_luck_oie
4yesnok	sem4
mariam_iliz	torick
kisa_pushistaya	torick
kisa_pushistaya	torkes
kisa_pushistaya	sem4
kisa_pushistaya	kisa_pushistaya
neudachnica	torick
neudachnica	kammerer
neudachnica	dimalad
neudachnica	perestukin
neudachnica	giraffoman
neudachnica	tigrafamily
neudachnica	togusa_rus
neudachnica	oil_luck_oie
neudachnica	sem4
neudachnica	flipped_coin
neudachnica	sablukov
neudachnica	xupyc
megadestructor	torick
megadestructor	kammerer
megadestructor	perestukin
megadestructor	alex_777
megadestructor	togusa_rus
megadestructor	sem4
megadestructor	weaselchuck
megadestructor	marish_plohish
megadestructor	melamory_me
clever_jen	torick
yaponskiebudni1	torick
yaponskiebudni1	lapshinji
herr_melnikoff	torick
herr_melnikoff	porco
herr_melnikoff	torkes
herr_melnikoff	marish_plohish
niels_walter_b	torick
ffst	torick
samuraisnake	torick
samuraisnake	timedevourer
samuraisnake	char1ty
samuraisnake	3ergling
1evelup	torick
1evelup	weaselchuck
insocialplay	torick
insocialplay	kammerer
insocialplay	tigrafamily
rogulin_alex	torick
rogulin_alex	dr_zloben
rogulin_alex	live13
rogulin_alex	spaceman_dono
saprov	torick
flavorchemist	torick
flavorchemist	pocket_girl
flavorchemist	archer5
flavorchemist	live13
flavorchemist	melamory_me
daneyar	torick
nagiba	torick
nagiba	artiom_shorohov
old_katarn	torick
old_katarn	live13
mrprisonertv	torick
kiri2ll	torick
kiri2ll	archer5
kiri2ll	lapshinji
kiri2ll	live13
aygul_cy	torick
allchymist	torick
legal	dohtur
legal	kammerer
rustam	dohtur
lr33	dohtur
lr33	ptichka
lr33	kammerer
lr33	tigrafamily
lr33	igor_varnavsky
retro_parrot	dohtur
retro_parrot	k_kosen
patchitatel	dohtur
patchitatel	kammerer
patchitatel	lotrin
patchitatel	perestukin
patchitatel	giraffoman
patchitatel	tigrafamily
patchitatel	igor_varnavsky
patchitatel	litewren
apatride	dohtur
apatride	kammerer
apatride	lotrin
apatride	perestukin
apatride	igor_varnavsky
apatride	oil_luck_oie
burivuh	dohtur
burivuh	_nitro_
burivuh	oil_luck_oie
burivuh	k_kosen
b_a_t	dohtur
b_a_t	bofhland
drug123	dohtur
lenson	dohtur
dimalad	dohtur
dimalad	dimalad
dimalad	mrdaniil
dimalad	jmurik
dimalad	boris_ivanov
dimalad	oil_luck_oie
dimalad	dima_gameland
dimalad	losthost
dimalad	sablukov
dimalad	opex1986
rafffa	dohtur
rafffa	ptichka
rafffa	kammerer
rafffa	perestukin
rafffa	alex_777
rafffa	igor_varnavsky
rafffa	oil_luck_oie
rafffa	k_kosen
mrdaniil	dohtur
mrdaniil	dimalad
mrdaniil	_nitro_
mrdaniil	artiom_shorohov
mrdaniil	sem4
mrdaniil	dima_gameland
mrdaniil	sablukov
jess69	dohtur
jess69	perestukin
jess69	oil_luck_oie
rafida	dohtur
kuznez	dohtur
moloko_ubezhalo	dohtur
eleaone	dohtur
dzhan	dohtur
maacle	dohtur
maacle	sem4
maacle	weaselchuck
maacle	sablukov
spiral_ka	dohtur
gamelander	dohtur
gamelander	giraffoman
gamelander	kairai_chan
gamelander	artiom_shorohov
gamelander	pinwizz
gamelander	oil_luck_oie
